,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,TotalPrice
3,1,3,13265,1196,4221,6404,507,1788,27381
11,2,3,13146,1124,4523,1420,549,497,21259
15,1,3,10253,1114,3821,397,964,412,16961
17,1,3,5876,6157,2933,839,370,4478,20653
21,1,3,5567,871,2010,3383,375,569,12775
22,1,3,31276,1917,4469,9408,2381,4334,53785
26,1,3,9898,961,2861,3151,242,833,17946
27,1,3,14276,803,3045,485,100,518,19227
29,1,3,43088,2100,2609,1200,1107,823,50927
31,1,3,2612,4339,3133,2088,820,985,13977
32,1,3,21632,1318,2886,266,918,405,27425
33,1,3,29729,4786,7326,6130,361,1083,49415
34,1,3,1502,1979,2262,425,483,395,7046
36,1,3,29955,4362,5428,1729,862,4626,46962
39,1,3,56159,555,902,10002,212,2916,70746
40,1,3,24025,4332,4757,9510,1145,5864,49633
50,1,3,6269,1095,1980,3860,609,2162,15975
54,1,3,27329,1449,1947,2436,204,1333,34698
58,1,3,13779,1970,1648,596,227,436,18656
64,1,3,4760,1227,3250,3724,1247,1145,15353
68,1,3,2446,7260,3993,5870,788,3095,23452
69,1,3,8352,2820,1293,779,656,144,14044
70,1,3,16705,2037,3202,10643,116,1365,34068
72,1,3,4420,5139,2661,8872,1321,181,22594
73,2,3,19899,5332,8713,8132,764,648,43488
75,1,3,20398,1137,3,4407,3,975,26923
76,1,3,717,3587,6532,7530,529,894,19789
78,1,3,10766,1175,2067,2096,301,167,16572
80,1,3,7005,829,3009,430,610,529,12412
83,1,3,20874,1563,1783,2320,550,772,27862
87,1,3,43265,5025,8117,6312,1579,14351,78649
88,1,3,7864,542,4042,9735,165,46,22394
89,1,3,24904,3836,5330,3443,454,3178,41145
90,1,3,11405,596,1638,3347,69,360,17415
91,1,3,12754,2762,2530,8693,627,1117,28483
93,1,3,11314,3090,2062,35009,71,2698,54244
97,1,3,403,254,610,774,54,63,2158
98,1,3,503,112,778,895,56,132,2476
99,1,3,9658,2182,1909,5639,215,323,19926
103,1,3,56082,3504,8906,18028,1480,2498,90498
104,1,3,14100,2132,3445,1336,1491,548,23052
105,1,3,15587,1014,3970,910,139,1378,22998
110,1,3,11818,1648,1694,2276,169,1647,19252
112,1,3,19046,2770,2469,8853,483,2708,36329
113,1,3,14438,2295,1733,3220,585,1561,23832
114,1,3,18044,1080,2000,2555,118,1266,25063
115,1,3,11134,793,2988,2715,276,610,18516
116,1,3,11173,2521,3355,1517,310,222,19098
117,1,3,6990,3880,5380,1647,319,1160,19376
118,1,3,20049,1891,2362,5343,411,933,30989
119,1,3,8258,2344,2147,3896,266,635,17546
120,1,3,17160,1200,3412,2417,174,1136,25499
121,1,3,4020,3234,1498,2395,264,255,11666
122,1,3,12212,201,245,1991,25,860,15534
124,1,3,36050,1642,2961,4787,500,1621,47561
125,1,3,76237,3473,7102,16538,778,918,105046
126,1,3,19219,1840,1658,8195,349,483,31744
129,1,3,42312,926,1510,1718,410,1819,48695
130,1,3,7149,2428,699,6316,395,911,17898
131,1,3,2101,589,314,346,70,310,3730
132,1,3,14903,2032,2479,576,955,328,21273
133,1,3,9434,1042,1235,436,256,396,12799
134,1,3,7388,1882,2174,720,47,537,12748
135,1,3,6300,1289,2591,1170,199,326,11875
138,1,3,13537,4257,5034,155,249,3271,26503
139,1,3,5387,4979,3343,825,637,929,16100
140,1,3,17623,4280,7305,2279,960,2616,35063
141,1,3,30379,13252,5189,321,51,1450,50642
142,1,3,37036,7152,8253,2995,20,3,55459
143,1,3,10405,1596,1096,8425,399,318,22239
144,1,3,18827,3677,1988,118,516,201,25327
146,1,3,7769,1936,2177,926,73,520,13401
